frame,time_sec,elbow_angle,knee_angle,shoulder_angle,trunk_lean,hip_height,wrist_height,wrist_above_head,wrist_ahead_of_shoulder,torso_px
317,10.932,,,,,,,,,
318,10.967,,,,,,,,,
319,11.001,,,,,,,,,
320,11.036,,,,,,,,,
321,11.07,,,,,,,,,
322,11.105,,,,,,,,,
323,11.139,,,,,,,,,
324,11.173,,,,,,,,,
325,11.208,,,,,,,,,
326,11.242,,,,,,,,,
327,11.277,,,,,,,,,
328,11.311,,,,,,,,,
329,11.346,,,,,,,,,
330,11.38,,,,,,,,,
331,11.415,,,,,,,,,
332,11.449,,,,,,,,,
333,11.484,,,,,,,,,
